time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-12 00:00:00+00:00,17,11,183,22
2025-02-13 00:00:00+00:00,82,28,475,23
2025-02-14 00:00:00+00:00,34,18,245,18
2025-02-15 00:00:00+00:00,5,4,55,16
2025-02-16 00:00:00+00:00,4,2,15,8
2025-02-17 00:00:00+00:00,26,15,122,9
2025-02-18 00:00:00+00:00,38,19,271,32
2025-02-19 00:00:00+00:00,122,24,580,25
2025-02-20 00:00:00+00:00,29,8,172,20
2025-02-21 00:00:00+00:00,32,13,201,25
2025-02-22 00:00:00+00:00,17,12,97,17
2025-02-23 00:00:00+00:00,22,12,113,9
2025-02-24 00:00:00+00:00,23,11,156,19
2025-02-25 00:00:00+00:00,2,2,60,16
