url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,186,81
/PetervanLunteren/AddaxAI/actions,111,2
/PetervanLunteren/AddaxAI/actions/workflows/test-sign-installer.yml,103,1
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,60,36
/PetervanLunteren/addaxai,58,2
/PetervanLunteren/AddaxAI/tree/main,56,17
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,50,13
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/test-sign-installer.yml,43,1
/PetervanLunteren/AddaxAI/edit/main/.github/workflows/test-sign-installer.yml,38,1
/PetervanLunteren/AddaxAI/issues,37,12
