time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-04 00:00:00+00:00,20,6,123,23
2025-02-05 00:00:00+00:00,2,2,118,26
2025-02-06 00:00:00+00:00,8,5,88,26
2025-02-07 00:00:00+00:00,8,4,70,21
2025-02-08 00:00:00+00:00,8,6,26,10
2025-02-09 00:00:00+00:00,4,2,25,10
2025-02-10 00:00:00+00:00,36,18,175,36
2025-02-11 00:00:00+00:00,9,7,133,30
2025-02-12 00:00:00+00:00,17,11,183,22
2025-02-13 00:00:00+00:00,82,28,475,23
2025-02-14 00:00:00+00:00,34,18,245,18
2025-02-15 00:00:00+00:00,5,4,55,16
2025-02-16 00:00:00+00:00,4,2,15,8
2025-02-17 00:00:00+00:00,26,15,122,9
2025-02-18 00:00:00+00:00,38,19,271,32
2025-02-19 00:00:00+00:00,122,24,580,25
2025-02-20 00:00:00+00:00,29,8,172,20
2025-02-21 00:00:00+00:00,32,13,201,25
2025-02-22 00:00:00+00:00,17,12,97,17
2025-02-23 00:00:00+00:00,22,12,113,9
2025-02-24 00:00:00+00:00,23,11,156,19
2025-02-25 00:00:00+00:00,3,3,62,17
2025-02-26 00:00:00+00:00,21,12,141,15
2025-02-27 00:00:00+00:00,15,8,79,23
2025-02-28 00:00:00+00:00,8,4,40,10
2025-03-01 00:00:00+00:00,16,9,31,7
2025-03-02 00:00:00+00:00,4,4,8,4
