time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-30 00:00:00+00:00,30,14,68,6
2023-05-01 00:00:00+00:00,32,10,84,9
2023-05-02 00:00:00+00:00,42,17,105,24
2023-05-03 00:00:00+00:00,33,17,103,21
2023-05-04 00:00:00+00:00,40,14,208,28
2023-05-05 00:00:00+00:00,5,4,36,20
2023-05-06 00:00:00+00:00,9,6,21,6
2023-05-07 00:00:00+00:00,12,8,65,14
2023-05-08 00:00:00+00:00,33,12,97,9
2023-05-09 00:00:00+00:00,16,10,77,14
2023-05-10 00:00:00+00:00,9,6,23,12
2023-05-11 00:00:00+00:00,16,6,149,15
2023-05-12 00:00:00+00:00,9,7,49,13
2023-05-13 00:00:00+00:00,3,1,5,3
