time_iso8601,stars_cumulative
2022-02-13 00:00:00+00:00,1
2022-02-21 00:00:00+00:00,2
2022-03-04 00:00:00+00:00,4
2022-03-05 00:00:00+00:00,7
2022-03-11 00:00:00+00:00,8
2022-04-08 00:00:00+00:00,9
2022-06-02 00:00:00+00:00,10
2022-06-05 00:00:00+00:00,11
2022-08-14 00:00:00+00:00,12
2022-08-15 00:00:00+00:00,13
2022-09-19 00:00:00+00:00,14
2022-10-19 00:00:00+00:00,15
2022-10-22 00:00:00+00:00,16
2022-11-01 00:00:00+00:00,17
2022-11-03 00:00:00+00:00,19
2022-11-04 00:00:00+00:00,22
2022-11-07 00:00:00+00:00,23
2022-11-10 00:00:00+00:00,24
2022-11-11 00:00:00+00:00,25
2022-11-14 00:00:00+00:00,26
2022-11-24 00:00:00+00:00,27
2022-11-29 00:00:00+00:00,28
2022-12-08 00:00:00+00:00,29
2023-01-07 00:00:00+00:00,30
2023-01-12 00:00:00+00:00,31
2023-01-13 00:00:00+00:00,33
